IDCONTACT,IDCUSTOMER,NAME,PREFERENCE,EMAIL,PHONE
19,19,Stephen,paper,Stephen@Goodyear.com,(763) 555-3819
39,19,Danny,SMS,Danny@Goodyear.com,(763) 555-5839
59,19,Glenn,email,Glenn@Goodyear.com,(763) 555-7859
79,19,Brian,paper,Brian@Goodyear.com,(763) 555-9879
99,19,Theodore,SMS,Theodore@Goodyear.com,(763) 555-1899
119,19,Shirley,email,Shirley@Goodyear.com,(763) 555-3819
139,19,Jane,paper,Jane@Goodyear.com,(763) 555-5819
159,19,Debra,SMS,Debra@Goodyear.com,(763) 555-7819
179,19,Darlene,email,Darlene@Goodyear.com,(763) 555-9819
199,19,Anita,paper,Anita@Goodyear.com,(763) 555-1819
